"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2009,"Alabama","Natural resources and mining",1719,19613,904298368,887,46108
2009,"Alabama","Construction",11058,91601,3827582267,804,41785
2009,"Alabama","Manufacturing",5307,247544,11381940843,884,45980
2009,"Alabama","Trade, transportation, and utilities",31332,361576,12353133206,657,34165
2009,"Alabama","Information",1544,24908,1190564772,919,47798
2009,"Alabama","Financial activities",12049,93106,4836247466,999,51943
2009,"Alabama","Professional and business services",18758,204868,9650672060,906,47107
2009,"Alabama","Education and health services",10867,204573,8289229863,779,40520
2009,"Alabama","Leisure and hospitality",9312,169919,2344685852,265,13799
2009,"Alabama","Other services",9326,45285,1300931631,552,28728
2009,"Alaska","Natural resources and mining",380,15740,1730516229,2114,109944
2009,"Alaska","Construction",2441,16242,1120162273,1326,68968
2009,"Alaska","Manufacturing",553,12824,473522401,710,36924
2009,"Alaska","Trade, transportation, and utilities",4330,63194,2542541204,774,40234
2009,"Alaska","Information",393,6604,367418665,1070,55638
2009,"Alaska","Financial activities",1431,13502,663232709,945,49122
2009,"Alaska","Professional and business services",3179,26250,1418938621,1040,54056
2009,"Alaska","Education and health services",2123,39124,1624849293,799,41531
2009,"Alaska","Leisure and hospitality",2387,31116,599456737,370,19265
2009,"Alaska","Other services",1674,10073,328642876,627,32627
2009,"Alaska","Unclassified",322,251,8324800,637,33112
2009,"Arizona","Natural resources and mining",1278,34805,1332393876,736,38281
2009,"Arizona","Construction",15610,128637,5681998581,849,44171
2009,"Arizona","Manufacturing",4848,153020,9478370084,1191,61942
2009,"Arizona","Trade, transportation, and utilities",33632,476522,18417347148,743,38650
2009,"Arizona","Information",2181,38080,2138704093,1080,56163
2009,"Arizona","Financial activities",16560,166225,8757025699,1013,52682
2009,"Arizona","Professional and business services",30009,346680,16186693114,898,46691
2009,"Arizona","Education and health services",15298,325227,15030431292,889,46215
2009,"Arizona","Leisure and hospitality",11422,255457,4975020038,375,19475
2009,"Arizona","Other services",11707,67331,1964163563,561,29172
2009,"Arizona","Unclassified",3492,1859,77178837,798,41511
2009,"Arkansas","Natural resources and mining",2482,20794,864590849,800,41580
2009,"Arkansas","Construction",7425,51820,2053906065,762,39635
2009,"Arkansas","Manufacturing",3436,164105,6125165352,718,37325
2009,"Arkansas","Trade, transportation, and utilities",20666,232222,7735210006,641,33309
2009,"Arkansas","Information",1140,16262,1088324375,1287,66925
2009,"Arkansas","Financial activities",8237,49174,2156852030,843,43862
2009,"Arkansas","Professional and business services",12195,113015,5168962521,880,45737
2009,"Arkansas","Education and health services",14148,159352,5583899679,674,35041
2009,"Arkansas","Leisure and hospitality",6271,99751,1298694610,250,13019
2009,"Arkansas","Other services",5347,24729,638760400,497,25830
2009,"California","Natural resources and mining",18092,397468,11812165752,572,29719
2009,"California","Construction",73056,618068,34025956880,1059,55052
2009,"California","Manufacturing",42685,1275752,87008151427,1312,68201
2009,"California","Trade, transportation, and utilities",177794,2618690,109805329903,806,41931
2009,"California","Information",19246,438640,40728997822,1786,92853
2009,"California","Financial activities",88609,794616,59264559475,1434,74583
2009,"California","Professional and business services",164108,2049246,133166032679,1250,64983
2009,"California","Education and health services",99848,1714560,85862306148,963,50078
2009,"California","Leisure and hospitality",86474,1493782,35097109362,452,23495
2009,"California","Other services",479639,740659,18504065636,480,24983
2009,"California","Unclassified",56454,64643,3327363925,990,51473
2009,"Colorado","Natural resources and mining",2932,37738,2557811594,1303,67778
2009,"Colorado","Construction",20484,131003,6265031199,920,47824
2009,"Colorado","Manufacturing",5662,129642,7521749528,1116,58019
2009,"Colorado","Trade, transportation, and utilities",34771,399183,15608447728,752,39101
2009,"Colorado","Information",3246,74682,5796382068,1493,77614
2009,"Colorado","Financial activities",20532,143787,8689692293,1162,60434
2009,"Colorado","Professional and business services",40850,330141,20869808627,1216,63215
2009,"Colorado","Education and health services",15541,253984,11028008210,835,43420
