"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2020,"Alabama","Natural resources and mining",1829,18051,1062685422,1132,58872
2020,"Alabama","Construction",10335,92772,5499454454,1140,59279
2020,"Alabama","Manufacturing",5773,258328,15599723444,1161,60387
2020,"Alabama","Trade, transportation, and utilities",32424,372620,17085741246,882,45853
2020,"Alabama","Information",2566,19310,1339964860,1334,69393
2020,"Alabama","Financial activities",13880,94715,7196637904,1461,75982
2020,"Alabama","Professional and business services",22875,242419,15056828313,1194,62111
2020,"Alabama","Education and health services",15859,228486,11696980646,984,51193
2020,"Alabama","Leisure and hospitality",11221,178057,3303619704,357,18554
2020,"Alabama","Other services",9048,42367,1755535734,797,41437
2020,"Alaska","Construction",2493,15815,1302233554,1583,82340
2020,"Alaska","Trade, transportation, and utilities",4315,58933,3155882108,1030,53550
2020,"Alaska","Information",399,4892,363707965,1430,74342
2020,"Alaska","Financial activities",1492,10541,705565381,1287,66938
2020,"Alaska","Professional and business services",3612,26074,1787492660,1318,68555
2020,"Alaska","Education and health services",2661,48670,2864601976,1132,58857
2020,"Alaska","Leisure and hospitality",2673,26585,669114927,484,25169
2020,"Alaska","Other services",1724,9056,406377853,863,44873
2020,"Alaska","Unclassified",68,77,3076234,768,39951
2020,"Arizona","Natural resources and mining",1354,35607,1966066287,1062,55216
2020,"Arizona","Construction",14006,173852,10962451868,1213,63056
2020,"Arizona","Manufacturing",5213,177110,14589373592,1584,82375
2020,"Arizona","Trade, transportation, and utilities",33859,546143,28125330216,990,51498
2020,"Arizona","Information",4017,45513,4135775948,1748,90871
2020,"Arizona","Financial activities",20707,225922,18741560972,1595,82956
2020,"Arizona","Professional and business services",40867,431379,27254623600,1215,63180
2020,"Arizona","Education and health services",20727,455356,25572350827,1080,56159
2020,"Arizona","Leisure and hospitality",14444,274985,7372385533,516,26810
2020,"Arizona","Other services",10878,69183,2939074111,817,42482
2020,"Arizona","Unclassified",1087,1765,92738022,1011,52548
2020,"Arkansas","Natural resources and mining",2565,15961,796585496,960,49909
2020,"Arkansas","Construction",7277,53142,2776511032,1005,52247
2020,"Arkansas","Manufacturing",2961,154922,7989272829,992,51570
2020,"Arkansas","Trade, transportation, and utilities",21836,244074,11147531026,878,45673
2020,"Arkansas","Information",1536,11509,803586177,1343,69820
2020,"Arkansas","Financial activities",8906,51950,3393446234,1256,65321
2020,"Arkansas","Professional and business services",15490,139300,9481772292,1309,68067
2020,"Arkansas","Education and health services",15656,181169,8593766525,912,47435
2020,"Arkansas","Leisure and hospitality",7458,106295,1957344803,354,18414
2020,"Arkansas","Other services",5464,23724,904156634,733,38111
2020,"California","Natural resources and mining",17651,425665,18105340906,818,42534
2020,"California","Construction",86322,855879,65680182347,1476,76740
2020,"California","Manufacturing",44156,1263780,138874303618,2113,109888
2020,"California","Trade, transportation, and utilities",200632,2888684,169854016407,1131,58800
2020,"California","Information",29491,527549,114948558170,4190,217892
2020,"California","Financial activities",112775,817007,101396337836,2387,124107
2020,"California","Professional and business services",221985,2600604,276928629551,2048,106486
2020,"California","Education and health services",656765,2651781,152922267319,1109,57668
2020,"California","Leisure and hospitality",117833,1482600,53506505440,694,36090
2020,"California","Other services",97116,452175,21288573146,905,47080
2020,"California","Unclassified",542,990,45001000,874,45440
2020,"Colorado","Natural resources and mining",3312,41633,3825172397,1767,91879
2020,"Colorado","Construction",21025,174730,11918143085,1312,68209
2020,"Colorado","Manufacturing",5888,146473,11308677382,1485,77207
2020,"Colorado","Trade, transportation, and utilities",36421,465887,25958966210,1072,55719
2020,"Colorado","Information",4548,74867,9245671003,2375,123495
2020,"Colorado","Financial activities",25139,165271,16076866182,1871,97276
2020,"Colorado","Professional and business services",58286,430367,39053365394,1745,90744
2020,"Colorado","Education and health services",23475,332209,18337284573,1061,55198
2020,"Colorado","Leisure and hospitality",17650,271680,7722299370,547,28424
2020,"Colorado","Other services",16860,76766,3503778483,878,45642
2020,"Colorado","Unclassified",2467,2118,185032994,1680,87352
2020,"Connecticut","Natural resources and mining",467,5260,226942651,830,43142
2020,"Connecticut","Construction",9415,56915,4302282544,1454,75591
2020,"Connecticut","Manufacturing",4386,153812,13490303047,1687,87706
2020,"Connecticut","Trade, transportation, and utilities",24725,276491,15444426342,1074,55859
2020,"Connecticut","Information",2880,29237,4061537863,2671,138917
2020,"Connecticut","Financial activities",11223,118168,19507842621,3175,165086
2020,"Connecticut","Professional and business services",24131,206629,19777230704,1841,95714
2020,"Connecticut","Education and health services",19964,319881,19581475210,1177,61215
2020,"Connecticut","Leisure and hospitality",10916,117365,3086135599,506,26295
2020,"Connecticut","Other services",12480,48120,2027553140,810,42136
2020,"Connecticut","Unclassified",992,563,57871531,1978,102867
2020,"Delaware","Natural resources and mining",186,1317,57016371,832,43290
2020,"Delaware","Construction",3106,22403,1455651242,1250,64977
2020,"Delaware","Manufacturing",678,25520,1736615469,1309,68049
2020,"Delaware","Trade, transportation, and utilities",7050,76267,3482844646,878,45667
2020,"Delaware","Information",549,3622,285988620,1519,78966
2020,"Delaware","Financial activities",3005,47390,4888453291,1984,103154
2020,"Delaware","Professional and business services",9766,61669,5281997385,1647,85651
2020,"Delaware","Education and health services",5522,74184,4263343187,1105,57470
2020,"Delaware","Leisure and hospitality",2698,41103,913608134,427,22228
2020,"Delaware","Other services",2088,10706,408279763,733,38135
2020,"District of Columbia","Construction",1116,14990,1158507691,1486,77285
2020,"District of Columbia","Trade, transportation, and utilities",3430,28770,1986064439,1328,69033
2020,"District of Columbia","Information",1560,19816,3298082309,3201,166435
2020,"District of Columbia","Financial activities",2568,26923,4218429940,3013,156687
2020,"District of Columbia","Professional and business services",14128,166413,21856982852,2526,131342
2020,"District of Columbia","Education and health services",4626,111907,7942740022,1365,70976
2020,"District of Columbia","Leisure and hospitality",3219,47110,1966323803,803,41739
2020,"District of Columbia","Other services",10891,69899,7159287626,1970,102423
2020,"District of Columbia","Unclassified",396,400,30169849,1450,75409
2020,"Florida","Natural resources and mining",5394,71107,2681908048,725,37717
2020,"Florida","Construction",76308,561991,31421116628,1075,55910
2020,"Florida","Manufacturing",21275,376070,25105749078,1284,66758
2020,"Florida","Trade, transportation, and utilities",142700,1739110,85895754710,950,49391
2020,"Florida","Information",12659,130298,12163411259,1795,93350
2020,"Florida","Financial activities",80956,586706,49463239122,1621,84307
2020,"Florida","Professional and business services",179893,1358317,92668627554,1312,68223
2020,"Florida","Education and health services",85058,1293582,71293895704,1060,55114
2020,"Florida","Leisure and hospitality",59645,1007574,27918854602,533,27709
2020,"Florida","Other services",54871,254577,10476770801,791,41154
2020,"Florida","Unclassified",21764,10559,637106038,1160,60337
2020,"Georgia","Natural resources and mining",2794,29309,1347590761,884,45978
2020,"Georgia","Construction",22906,200710,13289733164,1273,66214
2020,"Georgia","Manufacturing",10646,382938,23046660395,1157,60184
2020,"Georgia","Trade, transportation, and utilities",64380,913981,47621794129,1002,52104
2020,"Georgia","Information",6010,109190,11872684600,2091,108735
2020,"Georgia","Financial activities",28810,242175,22557480287,1791,93145
2020,"Georgia","Professional and business services",60683,692452,52855256356,1468,76331
2020,"Georgia","Education and health services",31842,561390,32078447056,1099,57141
2020,"Georgia","Leisure and hospitality",26741,414059,9113194618,423,22009
2020,"Georgia","Other services",19294,101509,4194243493,795,41319
2020,"Georgia","Unclassified",27116,15910,1198129057,1448,75309
2020,"Hawaii","Natural resources and mining",529,5927,256318332,832,43246
2020,"Hawaii","Construction",3954,36033,2895854659,1546,80366
2020,"Hawaii","Manufacturing",1039,11940,585225407,943,49015
2020,"Hawaii","Trade, transportation, and utilities",7987,104906,5143738579,943,49032
2020,"Hawaii","Information",869,7250,534634219,1418,73744
2020,"Hawaii","Financial activities",3899,26791,2088957811,1499,77974
2020,"Hawaii","Professional and business services",8399,66240,4233913070,1229,63918
2020,"Hawaii","Education and health services",5597,82366,4981192016,1163,60477
2020,"Hawaii","Leisure and hospitality",5109,77384,2585364413,642,33410
2020,"Hawaii","Other services",4298,22299,941852646,812,42238
2020,"Hawaii","Unclassified",2206,1521,114980721,1454,75595
2020,"Idaho","Natural resources and mining",2531,27020,1157023293,823,42820
2020,"Idaho","Construction",9159,53385,2597116030,936,48649
2020,"Idaho","Manufacturing",2886,67700,4441338600,1262,65603
2020,"Idaho","Trade, transportation, and utilities",12742,143264,6391024907,858,44610
2020,"Idaho","Information",1385,7346,473149896,1239,64408
2020,"Idaho","Financial activities",6508,34249,2357443196,1324,68833
2020,"Idaho","Professional and business services",12911,97097,5800808020,1149,59743
2020,"Idaho","Education and health services",9128,106752,4854978747,875,45479
2020,"Idaho","Leisure and hospitality",5242,74574,1389809294,358,18637
2020,"Idaho","Other services",4119,18237,638814525,674,35029
2020,"Illinois","Natural resources and mining",2818,24933,1302992341,1005,52259
2020,"Illinois","Construction",32538,216664,16592383739,1473,76581
2020,"Illinois","Manufacturing",18033,554712,41522786859,1440,74855
2020,"Illinois","Trade, transportation, and utilities",78196,1140749,63631297079,1073,55780
2020,"Illinois","Information",7162,87520,9632378336,2117,110059
2020,"Illinois","Financial activities",33063,376539,45800061051,2339,121634
2020,"Illinois","Professional and business services",75904,892150,74841220930,1613,83889
2020,"Illinois","Education and health services",39684,882088,49112923623,1071,55678
2020,"Illinois","Leisure and hospitality",32842,462216,11580234726,482,25054
2020,"Illinois","Other services",35477,184359,8891568470,927,48230
2020,"Illinois","Unclassified",12404,612,27084963,852,44287
2020,"Indiana","Natural resources and mining",2302,20872,1058862647,976,50732
2020,"Indiana","Construction",15617,144001,9017143287,1204,62619
2020,"Indiana","Manufacturing",9255,504460,32836216357,1252,65092
2020,"Indiana","Trade, transportation, and utilities",40846,583686,26809487888,883,45931
2020,"Indiana","Information",2521,26075,1751964203,1292,67191
2020,"Indiana","Financial activities",17574,133449,9646147871,1390,72283
2020,"Indiana","Professional and business services",32143,326745,19140091368,1127,58578
2020,"Indiana","Education and health services",16899,451743,23852872629,1015,52802
2020,"Indiana","Leisure and hospitality",16068,263892,5408026806,394,20493
2020,"Indiana","Other services",13233,80627,2953870434,705,36636
2020,"Indiana","Unclassified",510,8,391690,922,47962
2020,"Iowa","Natural resources and mining",2911,22868,1042493186,877,45588
2020,"Iowa","Construction",9434,76561,4733857640,1189,61831
2020,"Iowa","Manufacturing",4099,216615,13668998205,1214,63103
2020,"Iowa","Trade, transportation, and utilities",23479,298376,13171972361,849,44146
2020,"Iowa","Information",1811,19135,1279287493,1286,66858
2020,"Iowa","Financial activities",10731,109283,8866224828,1560,81131
2020,"Iowa","Professional and business services",16706,134822,8331104601,1188,61793
2020,"Iowa","Education and health services",13294,209301,9883705653,908,47222
2020,"Iowa","Leisure and hospitality",8734,118383,2131083037,346,18002
2020,"Iowa","Other services",7585,37229,1495225249,772,40163
