"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2005,"Alabama","Construction",11944,105757,3698897289,673,34975
2005,"Alabama","Education and health services",10126,194392,6937778650,686,35690
2005,"Alabama","Financial activities",11292,96538,4481142981,893,46419
2005,"Alabama","Information",1834,31011,1426428086,885,45997
2005,"Alabama","Leisure and hospitality",8868,164623,1998089158,233,12137
2005,"Alabama","Manufacturing",5712,297835,12108103059,782,40654
2005,"Alabama","Natural resources and mining",1916,21895,861221691,756,39333
2005,"Alabama","Other services",10165,48704,1205163919,476,24745
2005,"Alabama","Professional and business services",17089,208099,7983874967,738,38366
2005,"Alabama","Trade, transportation, and utilities",31677,379214,11947369808,606,31506
2005,"Alaska","Construction",2608,18486,1030793753,1072,55762
2005,"Alaska","Education and health services",1993,35691,1275461390,687,35736
2005,"Alaska","Financial activities",1443,13664,567476464,799,41531
2005,"Alaska","Information",349,6903,334975306,933,48524
2005,"Alaska","Leisure and hospitality",2356,30918,537678870,334,17390
2005,"Alaska","Manufacturing",558,12548,450475895,690,35899
2005,"Alaska","Natural resources and mining",350,11577,1042655182,1732,90061
2005,"Alaska","Other services",1587,9316,263935586,545,28331
2005,"Alaska","Professional and business services",2859,23918,1043231624,839,43616
2005,"Alaska","Trade, transportation, and utilities",4439,63093,2233626102,681,35402
2005,"Arizona","Construction",14855,219234,8344764926,732,38063
2005,"Arizona","Education and health services",12989,268927,10729814659,767,39899
2005,"Arizona","Financial activities",14856,173946,9095468702,1006,52289
2005,"Arizona","Information",2217,45380,2176504350,922,47961
2005,"Arizona","Leisure and hospitality",10519,253448,4348865627,330,17159
2005,"Arizona","Manufacturing",4880,182097,9945051784,1050,54614
2005,"Arizona","Natural resources and mining",1299,37456,1087612913,558,29037
2005,"Arizona","Other services",9476,66442,1748796923,506,26321
2005,"Arizona","Professional and business services",26412,367283,14151195584,741,38529
2005,"Arizona","Trade, transportation, and utilities",29431,486372,17578557502,695,36142
2005,"Arkansas","Construction",7577,54638,1781270021,627,32601
2005,"Arkansas","Education and health services",8300,140919,4498910994,614,31925
2005,"Arkansas","Financial activities",7743,49779,1899354579,734,38156
2005,"Arkansas","Information",1208,20045,815751610,783,40696
2005,"Arkansas","Leisure and hospitality",5903,94089,1055871630,216,11222
2005,"Arkansas","Manufacturing",3571,201045,6877708169,658,34210
2005,"Arkansas","Natural resources and mining",2345,18298,566333384,595,30950
2005,"Arkansas","Other services",5537,25282,573358340,436,22679
2005,"Arkansas","Professional and business services",10414,111512,4181846122,721,37501
2005,"Arkansas","Trade, transportation, and utilities",20839,241778,7216163948,574,29846
2005,"California","Construction",73338,900684,41128258484,878,45663
2005,"California","Education and health services",93827,1536620,65488467868,820,42619
2005,"California","Financial activities",89331,924144,66750819825,1389,72230
2005,"California","Information",19209,469991,39613263787,1621,84285
2005,"California","Leisure and hospitality",81494,1463673,31105332673,409,21252
2005,"California","Manufacturing",47042,1498497,89543672219,1149,59756
2005,"California","Natural resources and mining",19938,402621,10106018438,483,25101
2005,"California","Other services",391799,685603,16267890407,456,23728
2005,"California","Professional and business services",152523,2137738,117087114875,1053,54771
2005,"California","Trade, transportation, and utilities",176930,2790669,108432468219,747,38855
2005,"Colorado","Construction",21430,160101,6642248495,798,41488
2005,"Colorado","Education and health services",13983,221957,8446488248,732,38055
